Node,In-Degree Centrality,Out-Degree Centrality,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Russian Federation,0.14166666666666666,0.2583333333333333,0.4,0.09026509593736483,0.22499999999999998,0.29460507705025313
Netherlands,0.025,0.075,0.1,0.0032259570494864607,0.13608870967741937,0.043814684382597134
Africa,0.10833333333333334,0.0,0.10833333333333334,0.0,0.21477663230240548,0.1549313178075519
United Kingdom,0.09166666666666666,0.15833333333333333,0.25,0.02733309990662931,0.19622093023255816,0.17218526458978348
Germany,0.09166666666666666,0.2,0.2916666666666667,0.021481595163317848,0.18342391304347827,0.15933309815300714
United States of America,0.275,0.44166666666666665,0.7166666666666667,0.17807005630535047,0.2766393442622951,0.43443345637372555
France,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.006379966127865286,0.19176136363636365,0.17982693898427704
Europe,0.21666666666666667,0.0,0.21666666666666667,0.0,0.26703296703296703,0.2566560793089505
Colombia,0.008333333333333333,0.058333333333333334,0.06666666666666667,0.0,0.0,9.720755197691425e-10
Brazil,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.010579494424032238,0.15625,0.06119271649030014
Venezuela,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,2.373231249436383e-13
Guatemala,0.008333333333333333,0.008333333333333333,0.016666666666666666,0.0,0.11450216450216451,0.007143291705062786
Italy,0.058333333333333334,0.05,0.10833333333333334,0.005676199772838426,0.16383495145631066,0.13469433155447474
Belgium,0.008333333333333333,0.05,0.058333333333333334,0.0013715587244999008,0.1308139534883721,0.020100026352175338
Morocco,0.016666666666666666,0.03333333333333333,0.05,0.00011087768440709616,0.1205357142857143,0.013850435274009736
Egypt,0.041666666666666664,0.008333333333333333,0.05,0.0,0.17287581699346408,0.0941546805363359
South Africa,0.06666666666666667,0.1,0.16666666666666666,0.023791599973322666,0.18543956043956045,0.11816479467488418
Kenya,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,2.373231249436383e-13
Botswana,0.025,0.025,0.05,0.0,0.1622596153846154,0.06615923032967902
Thailand,0.025,0.025,0.05,0.0,0.1622596153846154,0.06615923032967902
China,0.14166666666666666,0.075,0.21666666666666667,0.014440200322553262,0.21634615384615383,0.29690593392196835
Spain,0.058333333333333334,0.05,0.10833333333333334,0.008114695373098734,0.1622596153846154,0.1060481282871625
Japan,0.041666666666666664,0.21666666666666667,0.2583333333333333,0.03541324358026039,0.17219387755102042,0.10479749846715755
India,0.06666666666666667,0.16666666666666666,0.23333333333333334,0.04077120747288814,0.15771028037383178,0.09313162126389367
Switzerland,0.06666666666666667,0.058333333333333334,0.125,0.0033593841577034852,0.1875,0.20032124306933755
Denmark,0.058333333333333334,0.041666666666666664,0.1,0.00043699297900978565,0.1875,0.15826399744770725
Portugal,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.0,0.1298076923076923,0.022756606023339065
Ethiopia,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,2.373231249436383e-13
Pakistan,0.025,0.0,0.025,0.0,0.14336043360433603,0.041704799173767744
Turkey,0.041666666666666664,0.05,0.09166666666666666,0.00013138588768840868,0.1670792079207921,0.0923240421413674
Canada,0.03333333333333333,0.09166666666666666,0.125,0.006588645559233795,0.17578125,0.13559026126208065
Malaysia,0.03333333333333333,0.025,0.058333333333333334,0.0003238795518207282,0.13946280991735538,0.032848453309069214
Mongolia,0.016666666666666666,0.0,0.016666666666666666,0.0,0.13776041666666666,0.023359619033415716
South Korea,0.0,0.025,0.025,0.0,0.0,2.373231249436383e-13
Republic of Korea,0.025,0.0,0.025,0.0,0.12871046228710462,0.015493135211355886
Kazakhstan,0.025,0.016666666666666666,0.041666666666666664,0.01414565826330532,0.14933628318584072,0.05247696099409447
Cuba,0.008333333333333333,0.0,0.008333333333333333,0.0,0.10372549019607843,0.005114892670591766
Iran,0.05,0.025,0.075,0.009100918145035788,0.17952127659574468,0.1024565840245345
Singapore,0.016666666666666666,0.025,0.041666666666666664,0.00015406162464985996,0.1670792079207921,0.06450684499400898
Sri Lanka,0.025,0.058333333333333334,0.08333333333333333,0.004409124761015517,0.13287401574803148,0.027924745045169508
Nepal,0.016666666666666666,0.008333333333333333,0.025,0.0,0.11525054466230937,0.01230822242035633
Viet Nam,0.016666666666666666,0.0,0.016666666666666666,0.0,0.10558882235528944,0.003455401699483365
ERROR,0.0,0.18333333333333332,0.18333333333333332,0.0,0.0,2.373231249436383e-13
Palestine,0.03333333333333333,0.0,0.03333333333333333,0.0,0.17119741100323627,0.08154649180669547
Asia,0.025,0.0,0.025,0.0,0.1427002583979328,0.03959156280767948
Ireland,0.0,0.025,0.025,0.0,0.0,2.373231249436383e-13
Mauritius,0.016666666666666666,0.041666666666666664,0.058333333333333334,0.0020561103229170454,0.125,0.015616523596888697
Australia,0.03333333333333333,0.05,0.08333333333333333,0.012601434513199217,0.11883802816901409,0.014371942234390955
Norway,0.06666666666666667,0.05,0.11666666666666667,0.0021420184235310287,0.17952127659574468,0.15579215141010852
Argentina,0.025,0.016666666666666666,0.041666666666666664,0.0013537637277133072,0.16544117647058823,0.057415534340790046
Sweden,0.041666666666666664,0.03333333333333333,0.075,5.2910052910052905e-05,0.1534090909090909,0.07749887458094327
Antarctica,0.06666666666666667,0.0,0.06666666666666667,0.0,0.20037878787878788,0.13614610143310285
Czechia,0.041666666666666664,0.06666666666666667,0.10833333333333334,0.0011673962514298648,0.17578125,0.1324560891151661
Slovakia,0.03333333333333333,0.0,0.03333333333333333,0.0,0.17993197278911566,0.11916534003965203
Poland,0.041666666666666664,0.03333333333333333,0.075,3.1512605042016806e-05,0.17396907216494845,0.1138563237579466
Lithuania,0.016666666666666666,0.0,0.016666666666666666,0.0,0.14694444444444446,0.03439034457493696
Austria,0.016666666666666666,0.025,0.041666666666666664,0.00046945040642519634,0.14423076923076925,0.04109268916367607
Mexico,0.03333333333333333,0.016666666666666666,0.05,0.0010798763950024455,0.17396907216494845,0.09635087693099308
Ukraine,0.016666666666666666,0.0,0.016666666666666666,0.0,0.1745874587458746,0.0851035284886017
Cyprus,0.008333333333333333,0.0,0.008333333333333333,0.0,0.12777777777777777,0.018599765360304672
Israel,0.025,0.0,0.025,0.0,0.17811447811447811,0.10370329384866905
Jordan,0.025,0.0,0.025,0.0,0.16955128205128206,0.07601529386840428
Hungary,0.016666666666666666,0.058333333333333334,0.075,0.001953728461081402,0.1607142857142857,0.05741552850833692
Latvia,0.008333333333333333,0.008333333333333333,0.016666666666666666,0.0,0.008333333333333333,3.085200624267298e-12
Chile,0.016666666666666666,0.008333333333333333,0.025,2.334267040149393e-05,0.09531531531531533,0.0016775893818928478
Eastern Europe,0.016666666666666666,0.0,0.016666666666666666,0.0,0.12077625570776256,0.018070032146760163
Southern Europe,0.016666666666666666,0.0,0.016666666666666666,0.0,0.12077625570776256,0.018070032146760163
Slovenia,0.016666666666666666,0.008333333333333333,0.025,2.334267040149393e-05,0.16635220125786165,0.05824325228268782
Greece,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,2.373231249436383e-13
Taiwan,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,2.373231249436383e-13
Myanmar,0.008333333333333333,0.0,0.008333333333333333,0.0,0.11525054466230937,0.010871491286670087
Afghanistan,0.016666666666666666,0.0,0.016666666666666666,0.0,0.13258145363408522,0.023105033813700392
Bangladesh,0.008333333333333333,0.0,0.008333333333333333,0.0,0.11525054466230937,0.010871491286670087
Bhutan,0.008333333333333333,0.0,0.008333333333333333,0.0,0.11525054466230937,0.010871491286670087
Maldives,0.008333333333333333,0.0,0.008333333333333333,0.0,0.11525054466230937,0.010871491286670087
El Salvador,0.008333333333333333,0.0,0.008333333333333333,0.0,0.11450216450216451,0.007143291705062786
Honduras,0.008333333333333333,0.0,0.008333333333333333,0.0,0.11450216450216451,0.007143291705062786
Luxembourg,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,2.373231249436383e-13
Nigeria,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,2.373231249436383e-13
Estonia,0.008333333333333333,0.0,0.008333333333333333,0.0,0.008333333333333333,3.085200624267298e-12
Finland,0.008333333333333333,0.0,0.008333333333333333,0.0,0.008333333333333333,3.085200624267298e-12
Iraq,0.025,0.016666666666666666,0.041666666666666664,0.0,0.1622596153846154,0.07126596281027113
Panama,0.016666666666666666,0.0,0.016666666666666666,0.0,0.16635220125786165,0.06654103373827987
Bolivia,0.016666666666666666,0.0,0.016666666666666666,0.0,0.16635220125786165,0.06654103373827987
Sub-Saharan Africa,0.016666666666666666,0.0,0.016666666666666666,0.0,0.13258145363408522,0.029621510899026295
Croatia,0.016666666666666666,0.0,0.016666666666666666,0.0,0.16793650793650794,0.07409752357843855
Barbados,0.008333333333333333,0.0,0.008333333333333333,0.0,0.164797507788162,0.050713183916749935
Belarus,0.008333333333333333,0.0,0.008333333333333333,0.0,0.14573002754820938,0.03439034457208908
Indonesia,0.008333333333333333,0.025,0.03333333333333333,0.0033029878618113908,0.09221311475409835,0.001677588410054651
Philippines,0.008333333333333333,0.0,0.008333333333333333,0.0,0.07700145560407569,0.00019580901824298427
Kyrgyzstan,0.008333333333333333,0.0,0.008333333333333333,0.0,0.14573002754820938,0.03439034457208908
Tajikistan,0.008333333333333333,0.0,0.008333333333333333,0.0,0.14573002754820938,0.03439034457208908
Turkmenistan,0.008333333333333333,0.0,0.008333333333333333,0.0,0.14573002754820938,0.03439034457208908
Uzbekistan,0.008333333333333333,0.0,0.008333333333333333,0.0,0.14573002754820938,0.03439034457208908
Armenia,0.008333333333333333,0.0,0.008333333333333333,0.0,0.14573002754820938,0.03439034457208908
Azerbaijan,0.008333333333333333,0.0,0.008333333333333333,0.0,0.14573002754820938,0.03439034457208908
New Zealand,0.008333333333333333,0.025,0.03333333333333333,0.00028011204481792715,0.008333333333333333,3.085200624267298e-12
Iceland,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,2.373231249436383e-13
Greenland,0.016666666666666666,0.0,0.016666666666666666,0.0,0.16955128205128206,0.08537206686869896
Libya,0.016666666666666666,0.0,0.016666666666666666,0.0,0.16635220125786165,0.06294672644378024
Bahrain,0.008333333333333333,0.0,0.008333333333333333,0.0,0.164797507788162,0.050713183916749935
Kuwait,0.016666666666666666,0.0,0.016666666666666666,0.0,0.16635220125786165,0.06294672644378024
Lebanon,0.016666666666666666,0.0,0.016666666666666666,0.0,0.16635220125786165,0.06294672644378024
Qatar,0.008333333333333333,0.0,0.008333333333333333,0.0,0.164797507788162,0.050713183916749935
Saudi Arabia,0.016666666666666666,0.0,0.016666666666666666,0.0,0.16635220125786165,0.06294672644378024
Syria,0.008333333333333333,0.0,0.008333333333333333,0.0,0.164797507788162,0.050713183916749935
United Arab Emirates,0.016666666666666666,0.0,0.016666666666666666,0.0,0.16635220125786165,0.06294672644378024
Malta,0.008333333333333333,0.0,0.008333333333333333,0.0,0.164797507788162,0.050713183916749935
Sierra Leone,0.06666666666666667,0.0,0.06666666666666667,0.0,0.1896057347670251,0.15774337767283866
Algeria,0.008333333333333333,0.0,0.008333333333333333,0.0,0.1224537037037037,0.012233542527267629
Sudan,0.008333333333333333,0.0,0.008333333333333333,0.0,0.1224537037037037,0.012233542527267629
Tunisia,0.008333333333333333,0.0,0.008333333333333333,0.0,0.1224537037037037,0.012233542527267629
Djibouti,0.008333333333333333,0.0,0.008333333333333333,0.0,0.1224537037037037,0.012233542527267629
Mauritania,0.008333333333333333,0.0,0.008333333333333333,0.0,0.1224537037037037,0.012233542527267629
Oman,0.008333333333333333,0.0,0.008333333333333333,0.0,0.1224537037037037,0.012233542527267629
Yemen,0.016666666666666666,0.0,0.016666666666666666,0.0,0.12417840375586855,0.012233542530115507
Bulgaria,0.008333333333333333,0.0,0.008333333333333333,0.0,0.164797507788162,0.050713183916749935
Bosnia and Herzegovina,0.008333333333333333,0.0,0.008333333333333333,0.0,0.164797507788162,0.050713183916749935
Montenegro,0.008333333333333333,0.0,0.008333333333333333,0.0,0.164797507788162,0.050713183916749935
North Macedonia,0.008333333333333333,0.0,0.008333333333333333,0.0,0.164797507788162,0.050713183916749935
Serbia,0.008333333333333333,0.0,0.008333333333333333,0.0,0.164797507788162,0.050713183916749935
