Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Saudi Arabia,0.10144927536231885,0.0,0.3804686441825816,0.05896614882669899
Qatar,0.10144927536231885,0.0,0.3804686441825816,0.05896614882669899
Iraq,0.2028985507246377,0.010651361994072994,0.4240640096618358,0.11794924751971718
United Arab Emirates,0.10144927536231885,0.0,0.3804686441825816,0.05896614882669899
Kuwait,0.10144927536231885,0.0,0.3804686441825816,0.05896614882669899
Iran,0.14492753623188406,0.02216538789428815,0.38405797101449274,0.06277295385614544
United States of America,0.5217391304347826,0.13862009680592263,0.5576732181854278,0.28947529534729716
United Kingdom,0.5652173913043478,0.13615167949239643,0.5900021003990757,0.3288171017544357
Norway,0.2318840579710145,0.00656770704064827,0.40710144927536235,0.16583710364271873
Russian Federation,0.2028985507246377,0.006219769607388082,0.40710144927536235,0.12963821935140762
Sweden,0.2898550724637681,0.011997802808556371,0.43308664816527903,0.20297142784552746
Netherlands,0.17391304347826086,0.000779649804585866,0.40307074185679437,0.14087133163317275
Germany,0.31884057971014496,0.020969011855680158,0.45741735873636213,0.22620300939862692
France,0.3333333333333333,0.031378914251513415,0.4679327003165084,0.20500784594988394
Czechia,0.2028985507246377,0.0006008200381601915,0.40307074185679437,0.16267185332925463
Denmark,0.34782608695652173,0.026910761233114148,0.4733737782271655,0.23823406629842925
Pakistan,0.15942028985507248,0.0,0.3991190679170219,0.14650506241691047
Brazil,0.34782608695652173,0.02080331565939109,0.4733737782271655,0.24167729868262827
Italy,0.37681159420289856,0.02146380719401394,0.49048367382573765,0.2686380904340127
South Korea,0.18840579710144928,0.0,0.3991190679170219,0.15535691266777676
Japan,0.18840579710144928,0.0,0.3991190679170219,0.15535691266777676
Hungary,0.18840579710144928,0.0,0.3991190679170219,0.15535691266777676
Colombia,0.2028985507246377,0.03106215916318219,0.3952441255100605,0.12174178387140094
Venezuela,0.11594202898550725,0.0,0.3804686441825816,0.10185021120043378
Guatemala,0.11594202898550725,0.0,0.3804686441825816,0.10185021120043378
Belgium,0.2753623188405797,0.01851364427714661,0.43308664816527903,0.19174675830846066
Morocco,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
India,0.17391304347826086,0.014291215990917611,0.40710144927536235,0.11758406957594361
Turkey,0.14492753623188406,0.00032818311270996697,0.3991190679170219,0.1101327451566219
Kenya,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
Argentina,0.14492753623188406,0.007081445820726698,0.3952441255100605,0.09031085539655306
Mexico,0.15942028985507248,0.009893222705393612,0.4112135851266286,0.10904625229137781
Chile,0.07246376811594203,0.0,0.28669116146152274,0.020649032556537203
Botswana,0.028985507246376812,0.0,0.3283076203833567,0.01861518628244165
Thailand,0.028985507246376812,0.0,0.3283076203833567,0.01861518628244165
Spain,0.2028985507246377,0.0021336769925039533,0.4154096421177167,0.14921407979409274
Portugal,0.043478260869565216,0.0,0.33644747873996883,0.021145008278442682
South Africa,0.21739130434782608,0.03493234323106789,0.41969221574779614,0.13655994178151215
Ethiopia,0.028985507246376812,0.0,0.30155662909286096,0.0198365350548456
Malaysia,0.043478260869565216,0.0,0.2576591451109888,0.0040368309688461595
Kazakhstan,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
Nepal,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
Sri Lanka,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
Palestine,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
Ireland,0.028985507246376812,0.0,0.31558251881811034,0.026054116787756473
Mauritius,0.043478260869565216,0.0,0.2732224491780955,0.008781672703061214
Bolivia,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
Egypt,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
Canada,0.2028985507246377,0.008295537049538988,0.40710144927536235,0.1210676027422964
China,0.08695652173913043,0.0001217878455730118,0.3571065344520722,0.0487126401358881
Finland,0.11594202898550725,0.0,0.3571065344520722,0.0698761976479518
Uruguay,0.14492753623188406,0.009591243904969396,0.3914437012263099,0.08961071808265753
Cuba,0.028985507246376812,0.0,0.2827093397745572,0.012519055079507194
Poland,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
Panama,0.014492753623188406,0.0,0.26264609630668534,0.007355769548310626
Latvia,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
Greenland,0.08695652173913043,0.0,0.3571065344520722,0.0658948256852862
Switzerland,0.34782608695652173,0.04387590380537667,0.4733737782271655,0.2173262312196145
Slovenia,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
Greece,0.13043478260869565,0.00017195613423234908,0.3877156659765355,0.11514344465932434
North Macedonia,0.014492753623188406,0.0,0.2950010501995379,0.013131152713651261
Australia,0.043478260869565216,0.0,0.32568115942028986,0.01861518628244165
Luxembourg,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
Nigeria,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
Austria,0.07246376811594203,0.00040372386919701497,0.37348756814253425,0.06273234868264037
Indonesia,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
Peru,0.11594202898550725,0.0,0.38405797101449274,0.08219762596267242
New Zealand,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
Iceland,0.057971014492753624,0.0,0.3060913152446333,0.04399261773979101
Singapore,0.028985507246376812,0.0,0.0,1.0440293029908669e-14
