Node,In-Degree Centrality,Out-Degree Centrality,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Saudi Arabia,0.0072992700729927005,0.0072992700729927005,0.014598540145985401,5.9634559419875006e-06,0.10240135406749179,0.009831431951699348
Southern Asia,0.06569343065693431,0.0,0.06569343065693431,0.0,0.17702650787552826,0.09588649365127695
Qatar,0.0072992700729927005,0.0072992700729927005,0.014598540145985401,5.9634559419875006e-06,0.10240135406749179,0.009831431951699348
Iraq,0.021897810218978103,0.029197080291970802,0.051094890510948905,2.3853823767950002e-05,0.13496350364963502,0.05813319234013615
United Arab Emirates,0.014598540145985401,0.0072992700729927005,0.021897810218978103,5.9634559419875006e-06,0.13854300844425363,0.051454590293203276
Kuwait,0.014598540145985401,0.0072992700729927005,0.021897810218978103,5.9634559419875006e-06,0.13854300844425363,0.051454590293203276
Iran,0.043795620437956206,0.043795620437956206,0.08759124087591241,0.008400917876551195,0.1499594484995945,0.08826179750901735
United States of America,0.22627737226277372,0.45255474452554745,0.6788321167883211,0.14731807241468042,0.22875170110107632,0.3623048362434838
United Kingdom,0.08029197080291971,0.18248175182481752,0.26277372262773724,0.028158381651028706,0.1645896385971159,0.15990995765620927
Norway,0.058394160583941604,0.058394160583941604,0.11678832116788321,0.001270601416855174,0.1499594484995945,0.1352286031312966
Arctic,0.13138686131386862,0.0,0.13138686131386862,0.0,0.20058773343444875,0.24011583200042746
Russian Federation,0.12408759124087591,0.30656934306569344,0.4306569343065693,0.07215807366623167,0.19008944176004935,0.24664380550237047
Sweden,0.0364963503649635,0.058394160583941604,0.0948905109489051,0.0009433441868231476,0.1297725996631106,0.07029124491669123
Netherlands,0.021897810218978103,0.072992700729927,0.0948905109489051,0.0023651066265922426,0.11437585055053816,0.042013633330185395
Africa,0.11678832116788321,0.0,0.11678832116788321,0.0,0.19555253776947887,0.16492065213640839
Germany,0.08759124087591241,0.2408759124087591,0.3284671532846715,0.023770539875896255,0.1645896385971159,0.16377387635412868
Global South,0.12408759124087591,0.0,0.12408759124087591,0.0,0.18950028074115663,0.21769349615110575
France,0.06569343065693431,0.1094890510948905,0.17518248175182483,0.005736527677274779,0.15878059252898238,0.14990672570222505
Czechia,0.0364963503649635,0.08029197080291971,0.11678832116788321,0.0007351576164639711,0.14669946048873375,0.11276390815794698
Denmark,0.051094890510948905,0.058394160583941604,0.1094890510948905,0.0004380377327457619,0.15693430656934307,0.12917295900666698
Pakistan,0.021897810218978103,0.0072992700729927005,0.029197080291970802,0.0,0.11975751577384634,0.033637822664422695
Brazil,0.0364963503649635,0.06569343065693431,0.10218978102189781,0.009222151590120674,0.13632677136326773,0.06933130409183605
Italy,0.051094890510948905,0.06569343065693431,0.11678832116788321,0.0008879241852084274,0.13913763262848972,0.11714012995491166
South Korea,0.021897810218978103,0.029197080291970802,0.051094890510948905,0.0011734222554317015,0.10381807973048848,0.013463915738237653
Japan,0.0364963503649635,0.2116788321167883,0.24817518248175183,0.03405570206235729,0.14357819537195216,0.08557541260955358
Hungary,0.014598540145985401,0.06569343065693431,0.08029197080291971,0.0012622632275648591,0.1336272313362723,0.047025586110406754
Atlantic,0.021897810218978103,0.0,0.021897810218978103,0.0,0.10467693971343607,0.018151074705820697
Latin America and the Caribbean,0.145985401459854,0.0,0.145985401459854,0.0,0.21331911752644958,0.19573793849464888
Europe,0.11678832116788321,0.0,0.11678832116788321,0.0,0.194266115557119,0.19414513633321945
Colombia,0.0072992700729927005,0.06569343065693431,0.072992700729927,0.0,0.0,3.4911062025039634e-09
Venezuela,0.0,0.014598540145985401,0.014598540145985401,0.0,0.0,1.7046417004413884e-12
Guatemala,0.0072992700729927005,0.014598540145985401,0.021897810218978103,0.0,0.09882088714205503,0.007965113263711195
Belgium,0.0072992700729927005,0.1386861313868613,0.145985401459854,0.00832297048819698,0.1097264257314106,0.018371488174464812
Morocco,0.014598540145985401,0.051094890510948905,0.06569343065693431,0.0001918070241384969,0.1007190325743545,0.011107609720835599
Global North,0.029197080291970802,0.0,0.029197080291970802,0.0,0.12182230052856782,0.043865257384521524
India,0.051094890510948905,0.18248175182481752,0.23357664233576642,0.030602786901090882,0.12158874202669823,0.04344482501236864
Egypt,0.0364963503649635,0.0072992700729927005,0.043795620437956206,0.0,0.14419782511544763,0.08083243695470514
South Africa,0.051094890510948905,0.0948905109489051,0.145985401459854,0.02125592163430292,0.1533676177836762,0.09642369950635847
Turkey,0.029197080291970802,0.06569343065693431,0.0948905109489051,0.00010348919483741297,0.13771786086697452,0.07939054623037435
Kenya,0.0,0.0072992700729927005,0.0072992700729927005,0.0,0.0,1.7046417004413884e-12
Argentina,0.021897810218978103,0.021897810218978103,0.043795620437956206,0.0011721676062594912,0.13771786086697452,0.047025605311490866
Mexico,0.029197080291970802,0.021897810218978103,0.051094890510948905,0.0009536069459856494,0.14512204693509143,0.0790389952450656
Chile,0.014598540145985401,0.014598540145985401,0.029197080291970802,4.651495634750251e-05,0.07597519817910682,0.000834496494406658
Southern Europe,0.0364963503649635,0.0,0.0364963503649635,0.0,0.12421026804882536,0.04105355835173304
European Union,0.23357664233576642,0.0,0.23357664233576642,0.0,0.2683555173894375,0.31750842844373534
Botswana,0.021897810218978103,0.021897810218978103,0.043795620437956206,0.0,0.13496350364963502,0.054039415014720635
Thailand,0.021897810218978103,0.021897810218978103,0.043795620437956206,0.0,0.13496350364963502,0.054039415014720635
China,0.12408759124087591,0.08029197080291971,0.20437956204379562,0.012358308495330823,0.18238311304004734,0.24099290841087362
Spain,0.043795620437956206,0.043795620437956206,0.08759124087591241,0.010263893768080116,0.13632677136326773,0.08977921606250297
Switzerland,0.058394160583941604,0.06569343065693431,0.12408759124087591,0.005441740377603408,0.15693430656934307,0.16909904366366413
Portugal,0.014598540145985401,0.0364963503649635,0.051094890510948905,0.00013417775869471878,0.10884153520131859,0.02075627943994721
Ethiopia,0.0,0.014598540145985401,0.014598540145985401,0.0,0.0,1.7046417004413884e-12
Canada,0.029197080291970802,0.0948905109489051,0.12408759124087591,0.00978219755055307,0.14669946048873375,0.11031904440525311
Malaysia,0.029197080291970802,0.029197080291970802,0.058394160583941604,0.00037131226080345874,0.11634784797382332,0.026327948153579566
Mongolia,0.014598540145985401,0.0,0.014598540145985401,0.0,0.11583103984683499,0.0204570501746879
Kazakhstan,0.021897810218978103,0.029197080291970802,0.051094890510948905,0.012746887075998282,0.12613411556040657,0.04347010627727594
Central Asia,0.014598540145985401,0.0,0.014598540145985401,0.0,0.14568440063210172,0.0466173910405487
Cuba,0.0072992700729927005,0.0072992700729927005,0.014598540145985401,1.78903678259625e-05,0.08723078309453004,0.004826981483702948
Developing countries,0.043795620437956206,0.0,0.043795620437956206,0.0,0.1390007550969041,0.04073908415868333
Singapore,0.014598540145985401,0.021897810218978103,0.0364963503649635,0.00011807642765135253,0.13913763262848972,0.05270048243476693
Sri Lanka,0.021897810218978103,0.051094890510948905,0.072992700729927,0.003378896072917112,0.11062582266363528,0.018154113132487156
Nepal,0.014598540145985401,0.0072992700729927005,0.021897810218978103,0.0,0.09117023781492818,0.0056391873400108514
Viet Nam,0.014598540145985401,0.0,0.014598540145985401,0.0,0.08832116788321169,0.002181485964488287
Palestine,0.029197080291970802,0.0072992700729927005,0.0364963503649635,0.0,0.1413138686131387,0.07939054623037435
Asia,0.029197080291970802,0.0,0.029197080291970802,0.0,0.1381403915683198,0.06437254835494947
Ireland,0.0,0.029197080291970802,0.029197080291970802,0.0,0.0,1.7046417004413884e-12
Mauritius,0.014598540145985401,0.051094890510948905,0.06569343065693431,0.003551452930209908,0.10381807973048848,0.012514929283582506
Australia,0.029197080291970802,0.043795620437956206,0.072992700729927,0.014323376995124527,0.09307827837905865,0.007263325253076736
Bolivia,0.014598540145985401,0.0072992700729927005,0.021897810218978103,0.0003417524939637434,0.13854300844425363,0.05429699640917838
Finland,0.0072992700729927005,0.0072992700729927005,0.014598540145985401,5.9634559419875006e-06,0.08461908300187945,0.0021107291632335135
Uruguay,0.0,0.014598540145985401,0.014598540145985401,0.0,0.0,1.7046417004413884e-12
Antarctica,0.051094890510948905,0.0,0.051094890510948905,0.0,0.16625161013310435,0.10649571090961311
Poland,0.0364963503649635,0.043795620437956206,0.08029197080291971,3.9060636420018135e-05,0.14512204693509143,0.09605947364575358
Panama,0.014598540145985401,0.0072992700729927005,0.021897810218978103,1.3417775869471877e-05,0.13854300844425363,0.05429699640917838
Slovakia,0.029197080291970802,0.0,0.029197080291970802,0.0,0.15033390277993477,0.10172844181608565
Austria,0.014598540145985401,0.021897810218978103,0.0364963503649635,0.00022422594341873006,0.12158874202669823,0.03373802379631774
Lithuania,0.014598540145985401,0.0,0.014598540145985401,0.0,0.12395953387117428,0.030446325190648424
Ukraine,0.014598540145985401,0.0,0.014598540145985401,0.0,0.14568440063210172,0.06995875437062347
Cyprus,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.11215386397868149,0.01881516367542692
Israel,0.021897810218978103,0.0,0.021897810218978103,0.0,0.14875144064540913,0.08877391804434576
Jordan,0.021897810218978103,0.0,0.021897810218978103,0.0,0.1413138686131387,0.06584074978412903
Latvia,0.0072992700729927005,0.0072992700729927005,0.014598540145985401,0.0,0.08461908300187945,0.0021107291632335135
Eastern Europe,0.051094890510948905,0.0,0.051094890510948905,0.0,0.1552899655089436,0.1283323948639926
Greenland,0.014598540145985401,0.0072992700729927005,0.021897810218978103,0.0,0.1413138686131387,0.06930961031186837
Eastern Asia,0.014598540145985401,0.0,0.014598540145985401,0.0,0.1399147213991472,0.06043832201693085
South-eastern Asia,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.13719793069236766,0.04162315834320857
Slovenia,0.014598540145985401,0.0072992700729927005,0.021897810218978103,1.78903678259625e-05,0.13854300844425363,0.04767746663730214
Sub-Saharan Africa,0.021897810218978103,0.0,0.021897810218978103,0.0,0.11396279726866024,0.0261359534247152
Western Europe,0.021897810218978103,0.0,0.021897810218978103,0.0,0.13206903608704548,0.05511587296484837
Greece,0.0,0.014598540145985401,0.014598540145985401,0.0,0.0,1.7046417004413884e-12
Afghanistan,0.014598540145985401,0.0,0.014598540145985401,0.0,0.1062510290324351,0.014822658990700422
Bangladesh,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.09117023781492818,0.004991227040705716
Bhutan,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.09117023781492818,0.004991227040705716
Maldives,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.09117023781492818,0.004991227040705716
Myanmar,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.09117023781492818,0.004991227040705716
North Macedonia,0.0072992700729927005,0.0072992700729927005,0.014598540145985401,0.00034419462151321316,0.13719793069236766,0.04162315834320857
Americas,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.13719793069236766,0.04162315834320857
El Salvador,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.09882088714205503,0.007965113263711195
Honduras,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.09882088714205503,0.007965113263711195
Luxembourg,0.0,0.014598540145985401,0.014598540145985401,0.0,0.0,1.7046417004413884e-12
Nigeria,0.0,0.0072992700729927005,0.0072992700729927005,0.0,0.0,1.7046417004413884e-12
Estonia,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.08461908300187945,0.0021107291632335135
Croatia,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.10870297585626053,0.019427084949589193
Barbados,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.13719793069236766,0.04162315834320857
Belarus,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.12288162488099016,0.02833559602911955
Indonesia,0.0072992700729927005,0.0364963503649635,0.043795620437956206,0.007039859739516244,0.07334973024436688,0.0008344930050050972
Philippines,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.06197976693558714,9.592396426520335e-05
Brunei,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.06197976693558714,9.592396426520335e-05
Taiwan,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.06197976693558714,9.592396426520335e-05
Peru,0.0,0.0072992700729927005,0.0072992700729927005,0.0,0.0,1.7046417004413884e-12
Northern America,0.014598540145985401,0.0,0.014598540145985401,0.0,0.14568440063210172,0.06995875437062347
Armenia,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.12288162488099016,0.02833559602911955
Turkmenistan,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.12288162488099016,0.02833559602911955
Azerbijan,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.12288162488099016,0.02833559602911955
Moldova,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.12288162488099016,0.02833559602911955
Uzbekistan,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.12288162488099016,0.02833559602911955
Tajikistan,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.12288162488099016,0.02833559602911955
Kyrgyzstan,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.12288162488099016,0.02833559602911955
New Zealand,0.0,0.021897810218978103,0.021897810218978103,0.0,0.0,1.7046417004413884e-12
Iceland,0.0,0.029197080291970802,0.029197080291970802,0.0,0.0,1.7046417004413884e-12
Bahrain,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.13719793069236766,0.04162315834320857
Lebanon,0.014598540145985401,0.0,0.014598540145985401,0.0,0.13854300844425363,0.051454590293203276
Libya,0.014598540145985401,0.0,0.014598540145985401,0.0,0.13854300844425363,0.051454590293203276
Syria,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.13719793069236766,0.04162315834320857
Malta,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.13719793069236766,0.04162315834320857
Sierra Leone,0.058394160583941604,0.0,0.058394160583941604,0.0,0.158779627655212,0.12838326400600517
North Africa,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.10240135406749179,0.009831431951699348
Mauritania,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.10240135406749179,0.009831431951699348
Sudan,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.10240135406749179,0.009831431951699348
Yemen,0.014598540145985401,0.0,0.014598540145985401,0.0,0.13854300844425363,0.051454590293203276
Djibouti,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.10240135406749179,0.009831431951699348
Oman,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.10240135406749179,0.009831431951699348
Algeria,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.10240135406749179,0.009831431951699348
Tunisia,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.10240135406749179,0.009831431951699348
Bulgaria,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.13719793069236766,0.04162315834320857
Bosnia and Herzogovina,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.13719793069236766,0.04162315834320857
Montenegro,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.13719793069236766,0.04162315834320857
Serbia,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.13719793069236766,0.04162315834320857
