Node,In-Degree Centrality,Out-Degree Centrality,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Saudi Arabia,0.012048192771084338,0.012048192771084338,0.024096385542168676,1.8254837531945966e-05,0.11729610750695088,0.05205829587183657
Persian Gulf,0.04819277108433735,0.0,0.04819277108433735,0.0,0.14463855421686747,0.0957153131115342
Gulf countries,0.04819277108433735,0.0,0.04819277108433735,0.0,0.14463855421686747,0.0957153131115342
Qatar,0.006024096385542169,0.012048192771084338,0.01807228915662651,0.0,0.11617900172117038,0.04171357253758104
Iraq,0.012048192771084338,0.030120481927710843,0.042168674698795185,0.0,0.1132296174991227,0.04740174251403874
UAE,0.012048192771084338,0.012048192771084338,0.024096385542168676,1.8254837531945966e-05,0.11729610750695088,0.05205829587183657
Kuwait,0.006024096385542169,0.012048192771084338,0.01807228915662651,0.0,0.11617900172117038,0.04171357253758104
Iran,0.030120481927710843,0.042168674698795185,0.07228915662650603,0.00845910732000546,0.12540484518720044,0.07478829002881411
USA,0.1927710843373494,0.47590361445783136,0.6686746987951807,0.13679708967482068,0.19437751004016066,0.34760990998244123
UK,0.060240963855421686,0.14457831325301207,0.20481927710843376,0.019913846372600047,0.13720765414599578,0.14027088751126743
Norway,0.03614457831325302,0.060240963855421686,0.0963855421686747,0.0018757581106978694,0.12276474318325936,0.114405745367769
Arctic,0.10843373493975904,0.0,0.10843373493975904,0.0,0.16228327945930063,0.2532057102964337
Russia,0.0963855421686747,0.25903614457831325,0.355421686746988,0.05363006338664953,0.1576033865190492,0.23589007602810397
Sweden,0.024096385542168676,0.06626506024096386,0.09036144578313253,0.003473855563121718,0.10699679451751963,0.06929259271119684
Netherlands,0.012048192771084338,0.06626506024096386,0.0783132530120482,0.0016642326883290737,0.09111445783132531,0.021565715040534197
Global South,0.11445783132530121,0.0,0.11445783132530121,0.0,0.16634036144578315,0.21330205576246383
Africa,0.0963855421686747,0.0,0.0963855421686747,0.0,0.16436199342825847,0.1524563966144603
Germany,0.06626506024096386,0.21686746987951808,0.28313253012048195,0.01988967781064397,0.13720765414599578,0.15814817471338755
emerging and developing countries,0.012048192771084338,0.0,0.012048192771084338,0.0,0.10607647983237296,0.04396234465380989
France,0.04819277108433735,0.09036144578313253,0.13855421686746988,0.0034438073343936023,0.1310410180046027,0.13046011808796107
Czechia,0.030120481927710843,0.09036144578313253,0.12048192771084337,0.0020204483156290387,0.12407075108946425,0.11410647092229911
Denmark,0.030120481927710843,0.05421686746987952,0.08433734939759037,0.0007655546384144987,0.12816099563087516,0.10903865791840144
Pakistan,0.01807228915662651,0.006024096385542169,0.024096385542168676,0.0,0.10081648909688339,0.03432840095969573
Italy,0.042168674698795185,0.060240963855421686,0.10240963855421688,0.0023103959850947803,0.1154717881426697,0.11271655067669886
Brazil,0.01807228915662651,0.07228915662650603,0.09036144578313253,0.007403561409585505,0.09559549674106262,0.0225214675364248
South Korea,0.01807228915662651,0.030120481927710843,0.04819277108433735,0.0010051500768915884,0.08768910227375669,0.013748234998820994
Japan,0.030120481927710843,0.12650602409638556,0.1566265060240964,0.01763873939941848,0.1214859437751004,0.08620462239490838
Hungary,0.012048192771084338,0.060240963855421686,0.07228915662650603,0.002237046045917897,0.1132296174991227,0.04740174251403874
Atlantic Ocean,0.01807228915662651,0.0,0.01807228915662651,0.0,0.08651627787746731,0.011017653578023128
South Atlantic,0.01807228915662651,0.0,0.01807228915662651,0.0,0.08651627787746731,0.011017653578023128
North Atlantic,0.012048192771084338,0.0,0.012048192771084338,0.0,0.08471385542168675,0.011017653551192552
Latin America,0.11445783132530121,0.0,0.11445783132530121,0.0,0.16967871485943775,0.15741172241273516
Europe,0.0963855421686747,0.0,0.0963855421686747,0.0,0.16328844790928418,0.1767842285298089
Colombia,0.006024096385542169,0.060240963855421686,0.06626506024096386,0.0,0.0,4.995365796703388e-09
Venezuela,0.0,0.012048192771084338,0.012048192771084338,0.0,0.0,2.439143455421576e-12
