Node,In-Degree Centrality,Out-Degree Centrality,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Russian Federation,0.09195402298850575,0.3333333333333333,0.42528735632183906,0.09118551189521518,0.17456896551724138,0.22502651476952795
Arctic,0.11494252873563218,0.0,0.11494252873563218,0.0,0.20283975659229211,0.27965950251915855
Iraq,0.034482758620689655,0.022988505747126436,0.05747126436781609,0.0,0.147005444646098,0.12927548207805264
United States of America,0.26436781609195403,0.3793103448275862,0.6436781609195402,0.19716207787579076,0.2618534482758621,0.4502818432200295
Japan,0.022988505747126436,0.28735632183908044,0.3103448275862069,0.05399625768511093,0.14447086801426873,0.10485705181589387
China,0.12643678160919541,0.11494252873563218,0.24137931034482757,0.021110983821489033,0.18620689655172415,0.29345162593229035
Antarctica,0.06896551724137931,0.0,0.06896551724137931,0.0,0.18148820326678766,0.146492394294094
Malaysia,0.022988505747126436,0.04597701149425287,0.06896551724137931,0.0002673082063619353,0.10984848484848483,0.031833950397733415
Kazakhstan,0.022988505747126436,0.011494252873563218,0.034482758620689655,0.0,0.11857229280096793,0.05240056632676264
India,0.011494252873563218,0.09195402298850575,0.10344827586206896,0.0,0.0,1.4764982331374772e-07
Canada,0.022988505747126436,0.09195402298850575,0.11494252873563218,0.0003564109418159137,0.14963054187192118,0.14047829739498469
Bolivia,0.022988505747126436,0.0,0.022988505747126436,0.0,0.15273719072667055,0.11158467567823355
South Africa,0.04597701149425287,0.04597701149425287,0.09195402298850575,0.0053954888557935865,0.1643002028397566,0.15408812226463198
Panama,0.022988505747126436,0.0,0.022988505747126436,0.0,0.15273719072667055,0.11158467567823355
Poland,0.034482758620689655,0.022988505747126436,0.05747126436781609,0.0017900103104593883,0.1163793103448276,0.05240145222570251
Eastern Europe,0.022988505747126436,0.0,0.022988505747126436,0.0,0.12015325670498085,0.04250359380365391
Western Europe,0.011494252873563218,0.0,0.011494252873563218,0.0,0.11857229280096793,0.04250344618987791
Germany,0.034482758620689655,0.04597701149425287,0.08045977011494253,0.0030676798920584,0.14963054187192118,0.10485793771483376
France,0.022988505747126436,0.011494252873563218,0.034482758620689655,0.0014033680834001604,0.1163793103448276,0.06231024318714666
United Kingdom,0.04597701149425287,0.04597701149425287,0.09195402298850575,0.001026272577996716,0.1643002028397566,0.14736123906657933
Belgium,0.0,0.022988505747126436,0.022988505747126436,0.0,0.0,3.604732014495794e-11
Europe,0.1954022988505747,0.0,0.1954022988505747,0.0,0.23106395520188625,0.35654663730265274
Iran,0.04597701149425287,0.022988505747126436,0.06896551724137931,0.0037423148890670943,0.1611111111111111,0.13669100217757996
