Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Saudi Arabia,0.13461538461538464,0.0,0.34640688259109315,0.12757757991310398
Qatar,0.13461538461538464,0.0,0.34640688259109315,0.12757757991310398
Iraq,0.13461538461538464,0.0,0.34640688259109315,0.12757757991310398
United Arab Emirates,0.13461538461538464,0.0,0.34640688259109315,0.12757757991310398
Kuwait,0.13461538461538464,0.0,0.34640688259109315,0.12757757991310398
Iran,0.17307692307692307,0.0,0.34640688259109315,0.1401058608020769
United States of America,0.3076923076923077,0.1075917546505782,0.38716063348416285,0.20069767783544878
United Kingdom,0.5192307692307693,0.24761186525892404,0.5162141779788839,0.4480385922873769
Norway,0.13461538461538464,0.001256913021618904,0.3419080919080919,0.14953235517349656
Russian Federation,0.23076923076923078,0.042923579688285564,0.3815496098104794,0.1941112033924535
Sweden,0.19230769230769232,0.005367018602312721,0.35102564102564104,0.17077017296199237
France,0.2692307692307693,0.04962292609351434,0.392939150401837,0.27906753829886183
Colombia,0.19230769230769232,0.0,0.3606427818756586,0.236935014745277
Brazil,0.21153846153846156,0.02257415786827552,0.392939150401837,0.2566437040372166
Germany,0.2884615384615385,0.05972850678733032,0.38716063348416285,0.2812267521910719
Venezuela,0.15384615384615385,0.0,0.3606427818756586,0.215748854257887
Guatemala,0.15384615384615385,0.0,0.3606427818756586,0.215748854257887
Italy,0.19230769230769232,0.0,0.3606427818756586,0.236935014745277
Belgium,0.23076923076923078,0.07692307692307693,0.3760989010989011,0.2424721805756075
Morocco,0.038461538461538464,0.0,0.0,1.3398436251874384e-21
Botswana,0.038461538461538464,0.0,0.2556011949215833,0.02185487717480154
Thailand,0.038461538461538464,0.0,0.2556011949215833,0.02185487717480154
Spain,0.038461538461538464,0.0,0.0,1.3398436251874384e-21
Denmark,0.11538461538461539,0.0,0.3332521908471276,0.11698254953297405
Portugal,0.057692307692307696,0.0,0.3026083112290009,0.04878816511220802
India,0.038461538461538464,0.0,0.0,1.3398436251874384e-21
South Africa,0.09615384615384616,0.027149321266968326,0.2556011949215833,0.02966468729524313
Ethiopia,0.038461538461538464,0.0,0.2531434911242604,0.026723326317720474
Japan,0.038461538461538464,0.0,0.0,1.3398436251874384e-21
Malaysia,0.038461538461538464,0.0,0.0,1.3398436251874384e-21
South Korea,0.038461538461538464,0.0,0.0,1.3398436251874384e-21
Kazakhstan,0.038461538461538464,0.0,0.0,1.3398436251874384e-21
Netherlands,0.057692307692307696,0.0,0.2531434911242604,0.0306231225694007
Nepal,0.038461538461538464,0.0,0.0,1.3398436251874384e-21
Sri Lanka,0.038461538461538464,0.0,0.0,1.3398436251874384e-21
Palestine,0.038461538461538464,0.0,0.0,1.3398436251874384e-21
Ireland,0.038461538461538464,0.0,0.26592851592851596,0.05501997349980114
Mauritius,0.057692307692307696,0.0,0.18940232429441065,0.0032301930249234658
Egypt,0.038461538461538464,0.0,0.0,1.3398436251874384e-21
Turkey,0.057692307692307696,0.0,0.2556011949215833,0.03038801638367801
Argentina,0.019230769230769232,0.0,0.2531434911242604,0.019708689291939613
Canada,0.17307692307692307,0.010180995475113122,0.3375246548323471,0.13289849728756697
Czechia,0.07692307692307693,0.0006535947712418301,0.27423878205128205,0.04509488887610541
China,0.038461538461538464,0.0,0.0,1.3398436251874384e-21
Finland,0.15384615384615385,0.0,0.3332521908471276,0.12847023816548375
Poland,0.038461538461538464,0.0,0.0,1.3398436251874384e-21
Hungary,0.057692307692307696,0.0,0.3026083112290009,0.04878816511220802
Greenland,0.11538461538461539,0.0,0.3332521908471276,0.11698254953297405
Switzerland,0.057692307692307696,0.027149321266968326,0.2893068469991547,0.03914790912647964
Mexico,0.038461538461538464,0.0,0.3250237416904084,0.0637058704517173
North Macedonia,0.019230769230769232,0.0,0.20729860690490612,0.0038443621019087406
Australia,0.038461538461538464,0.0,0.0,1.3398436251874384e-21
Luxembourg,0.038461538461538464,0.0,0.0,1.3398436251874384e-21
