Node,In-Degree Centrality,Out-Degree Centrality,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Saudi Arabia,0.08,0.08,0.16,0.0,0.1827173913043478,0.3298955573298534
Iran,0.1,0.1,0.2,0.04696969696969697,0.19321839080459768,0.3421816814613211
Oman,0.08,0.0,0.08,0.0,0.1896774193548387,0.3298955573298534
United Arab Emirates,0.08,0.08,0.16,0.0,0.1827173913043478,0.3298955573298534
Qatar,0.08,0.08,0.16,0.0,0.1827173913043478,0.3298955573298534
Bahrain,0.08,0.0,0.08,0.0,0.1896774193548387,0.3298955573298534
Kuwait,0.08,0.08,0.16,0.0,0.1827173913043478,0.3298955573298534
Iraq,0.08,0.08,0.16,0.0,0.1827173913043478,0.3298955573298534
United States of America,0.19,0.28,0.47000000000000003,0.11064518926640139,0.2155128205128205,0.12413908563967237
United Kingdom,0.09,0.27,0.36,0.06613039850161062,0.17882978723404255,0.05962186635521775
Norway,0.06,0.07,0.13,0.004850408850408851,0.14745614035087717,0.03265128866432868
Arctic,0.15,0.0,0.15,0.0,0.22,0.10091031282682265
Russian Federation,0.15,0.23,0.38,0.1519342341160523,0.22716216216216215,0.11374405173506796
Sweden,0.04,0.04,0.08,0.0003341750841750842,0.13236220472440943,0.01852979514384481
France,0.08,0.13,0.21,0.03256908187211217,0.18075268817204299,0.06474685212719578
Latin America and the Caribbean,0.12,0.0,0.12,0.0,0.21542553191489364,0.07761258064175042
Europe,0.19,0.0,0.19,0.0,0.27480519480519483,0.14944490917330208
Colombia,0.01,0.08,0.09,0.0,0.0,3.1965358330216644e-47
Brazil,0.04,0.07,0.11,0.014371492704826037,0.14245762711864407,0.018861032557289856
Germany,0.1,0.28,0.38,0.06530219584007466,0.1827173913043478,0.05968602958055022
Venezuela,0.0,0.02,0.02,0.0,0.0,1.0576449873626252e-70
Guatemala,0.01,0.02,0.03,0.0,0.11025,0.002860357177388534
Italy,0.07,0.06,0.13,0.0049802789802789816,0.17329896907216494,0.05907267622692919
Belgium,0.01,0.18,0.19,0.01469071669071669,0.126390977443609,0.0090419020162352
Morocco,0.01,0.03,0.04,0.0,0.0,3.1965358330216644e-47
Egypt,0.03,0.01,0.04,0.0,0.13465648854961831,0.010669750460930773
South Africa,0.04,0.09,0.13,0.030416393370938828,0.1500892857142857,0.02292429387709393
Botswana,0.03,0.03,0.06,0.0,0.14367521367521366,0.027022359331948156
Thailand,0.03,0.03,0.06,0.0,0.14367521367521366,0.027022359331948156
China,0.09,0.05,0.14,0.005374225662104448,0.188876404494382,0.08416412518285406
Spain,0.06,0.03,0.09,0.01824354657687991,0.16979797979797978,0.048402925765998424
Japan,0.04,0.05,0.09,0.005867324033990702,0.13778688524590163,0.022917172581613902
India,0.07,0.17,0.24,0.05272432113341205,0.13778688524590163,0.02010853355349325
Switzerland,0.05,0.12,0.17,0.04933116883116882,0.16643564356435644,0.03953839434289223
Denmark,0.03,0.02,0.05,0.000382996632996633,0.15710280373831775,0.027662827258234664
Portugal,0.02,0.05,0.07,0.004197931697931698,0.12544776119402984,0.010658275686772129
Africa,0.08,0.0,0.08,0.0,0.1640677966101695,0.02595644886898219
Ethiopia,0.0,0.02,0.02,0.0,0.0,1.0576449873626252e-70
Turkey,0.06,0.05,0.11,0.013180615680615682,0.1600952380952381,0.04528980894735994
Pakistan,0.03,0.0,0.03,0.0,0.13999999999999999,0.015576671897648886
Canada,0.02,0.05,0.07,0.00802300785634119,0.14876106194690264,0.020333300014842987
Malaysia,0.03,0.01,0.04,0.0,0.12,0.005473265507325292
Mongolia,0.02,0.0,0.02,0.0,0.13363636363636364,0.010208546081663558
South Korea,0.02,0.03,0.05,0.0012546095879429214,0.094438202247191,0.0013752000524710705
Kazakhstan,0.02,0.04,0.06,0.0496969696969697,0.13448,0.061166178837448654
Central Asia,0.02,0.0,0.02,0.0,0.16641509433962265,0.028101798670349187
Netherlands,0.03,0.08,0.11,0.004141414141414141,0.131328125,0.021328026147702902
Cuba,0.01,0.0,0.01,0.0,0.10376470588235294,0.003234488214899077
Singapore,0.01,0.0,0.01,0.0,0.11454545454545453,0.0034765739766136434
Sri Lanka,0.03,0.07,0.1,0.011017797017797018,0.12007142857142857,0.0076927645199884485
Nepal,0.02,0.01,0.03,0.0,0.1075609756097561,0.0035946990651342272
Viet Nam,0.01,0.0,0.01,0.0,0.09692307692307693,0.0011666440654283588
Palestine,0.02,0.01,0.03,0.0,0.13164179104477614,0.010669750460930773
Asia,0.03,0.0,0.03,0.0,0.14792,0.018870766457623277
Ireland,0.0,0.04,0.04,0.0,0.0,1.0576449873626252e-70
Mauritius,0.02,0.07,0.09,0.003191919191919191,0.1105921052631579,0.004098065454854221
