Node,In-Degree Centrality,Out-Degree Centrality,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Malaysia,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,1.7171905797574242e-15
Antarctica,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,5.323290797248015e-14
Hungary,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.041666666666666664,1.8438193452643541e-06
Jordan,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,3.687638688811517e-06
United States of America,0.041666666666666664,0.9166666666666666,0.9583333333333333,0.0,0.0,1.8438193452643541e-06
Israel,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Palestine,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Mexico,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Northern America,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Turkey,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Switzerland,0.125,0.08333333333333333,0.20833333333333331,0.0,0.08333333333333333,0.7071067811577003
China,0.125,0.08333333333333333,0.20833333333333331,0.0,0.08333333333333333,0.7071067811577003
Yemen,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Eastern Europe,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Poland,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Czechia,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Slovakia,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Bulgaria,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Germany,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Bosnia and Herzogovina,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
North Macedonia,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Montenegro,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Serbia,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Slovenia,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,1.8438193452643541e-06
Japan,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.0,1.8438193452643541e-06
