Item,Count
"('Malaysia', 'Antarctica')",1
"('Hungary', 'Jordan')",1
"('United States of America', 'Jordan')",1
"('United States of America', 'Israel')",1
"('United States of America', 'Palestine')",1
"('United States of America', 'United States of America')",7
"('United States of America', 'Mexico')",1
"('United States of America', 'Northern America')",1
"('United States of America', 'Turkey')",1
"('Switzerland', 'China')",1
"('Switzerland', 'Switzerland')",1
"('United States of America', 'China')",2
"('United States of America', 'Switzerland')",1
"('China', 'China')",1
"('China', 'Switzerland')",1
"('United States of America', 'Yemen')",1
"('United States of America', 'Eastern Europe')",1
"('United States of America', 'Poland')",1
"('United States of America', 'Czechia')",1
"('United States of America', 'Slovakia')",1
"('United States of America', 'Hungary')",1
"('United States of America', 'Bulgaria')",1
"('United States of America', 'Germany')",1
"('United States of America', 'Bosnia and Herzogovina')",1
"('United States of America', 'North Macedonia')",1
"('United States of America', 'Montenegro')",1
"('United States of America', 'Serbia')",1
"('United States of America', 'Slovenia')",1
"('Japan', 'Japan')",1
