,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85170666369,10.1016/j.ijdrr.2023.103970,S2212420923004508,,Building parliamentary capacities for advancing the disaster risk reduction agenda: Notes and reflections from a capacity-building field training for parliamentarians of the Americas and the Caribbean,ar,Article,DiBella J.,60014171;130182229,University of Waterloo;Waterloo Climate Institute,Waterloo;Waterloo,Canada;Canada,2,"DiBella, Jose;Burch, Sarah",57217081507;15062419900,130182229;130182229-60014171,2023-10-01,1 October 2023,International Journal of Disaster Risk Reduction,22124209,21100228018,,Journal,96,,103970,,"As the escalating impacts of climate change exert greater pressure on national governments and their constituents, particularly in marginalized communities, legislators will need to leverage their roles to support national and local efforts to build disaster resilience. This will require a better understanding of risk, but also of the interconnections between the climate and disaster agendas. This is vital for legislators to strategically apply their capabilities to achieving the targets outlined by their respective national governments. The role of individual national parliamentarians in advancing the priorities of the Sendai Framework for Disaster Risk Reduction remains largely unexplored in scholarly research. However, these individuals play pivotal social and political roles with varying degrees of power, networks, and local influence. Such roles can enhance communities' capacity to participate in building disaster resilience. A significant hurdle for parliamentarians is comprehending the priorities and mechanisms necessary to develop a robust and coherent disaster risk management system. This involves navigating the intricate conceptual dimensions of the disaster risk reduction agenda and bridging these concepts with their everyday functions as parliamentarians. We contend that field briefings and co-production offer an effective platform for enhancing parliamentarians' capacity to grasp the concepts surrounding climate change adaptation and disaster risk reduction. This article presents reflections drawn from a parliamentary training on climate change adaptation and disaster risk reduction with insights from the three-day capacity-building workshop with national legislators from the Americas and the Caribbean. The project was done in partnership between the United Nations Office for Disaster Risk Reduction (UNDRR) and an inter-parliamentary organization.",Climate adaptation | Climate risk | Co-production | Disaster risk reduction | Experiential learning | Parliamentarians | Science diplomacy,0,0,,,,undefined,
1,2-s2.0-85171525963,10.1017/S0032247423000190,S0032247423000190,,International interdisciplinary Arctic research: Case study of the Russian Arctic biomonitoring mega-grant project,re,Review,Sorokina T.Y.,60104901;60008009,Northern (Arctic) Federal University;South Ural State University,Arkhangelsk;Chelyabinsk,Russian Federation;Russian Federation,4,"Sorokina, Tatiana Yu;Zarubina, Lyubov;Gutenev, Maxim;Kudryashova, Elena",57200700751;57214879085;57207859906;57221543389,60104901;60104901;60008009;60104901,2023-09-01,1 September 2023,Polar Record,322474,12397,14753057,Journal,59,54,e28,,"The Arctic region is commonly seen as a territory of international dialogue and cooperation. This perception is largely due to the science diplomacy efforts that are largely being contributed by universities, scientific centres, research teams and individual scholars. This paper discusses the Arctic science diplomacy initiatives proposed by Russia's northernmost federal university. Of particular interest is the case of establishing in the Arctic Zone of the Russian Federation of national biological monitoring network - the initiative supported by the government-funded mega-grant programme. Our analysis suggests that two pillars of science diplomacy - science for diplomacy and diplomacy for science - can be successfully combined within the framework of one project. Evidence is provided of the pursuit of national interests being not a limiting factor but rather a driver in the process of promoting diplomatic collaborations in science, serving as a third science diplomacy pillar. Significant progress towards ensuring peace and harmony in the Arctic and sustaining international dialogue on science-based responses to global challenges has been achieved through science diplomacy initiatives proposed by Northern (Arctic) Federal University (NArFU). The authors confirm that most effective tools for establishing good neighbourly relations in the Arctic and promoting international cooperation are offered by scientific discussion.",Arctic biomonitoring | Arctic science diplomacy | interdisciplinary approach | international scientific collaboration | project management | Russian policy | science diplomacy,0,0,,,,5-100,"Government Council on Grants, Russian Federation"
2,2-s2.0-85169977289,10.1007/s10584-023-03603-3,,,Evaluating normative capacity through Arctic environmental governance,ar,Article,Wood-Donnelly C.,60021876;60003858,Nord Universitet;Uppsala Universitet,Bodo;Uppsala,Norway;Sweden,1,"Wood-Donnelly, Corine",57188649089,60021876-60003858,2023-09-01,September 2023,Climatic Change,1650009,12177,15731480,Journal,176,9,127,,"International cooperation in the Arctic is largely operationalised through environmental governance in a constellation of institutions that promote scientific knowledge of the Arctic region. While the Arctic Council is placed at the centre of this network for environmental protection and resource management across the region, other institutions play critical roles in facilitating scientific knowledge production that promotes the security and development of the region and its resources across national boundaries. Evaluating the role of environmental protection in Arctic governance within models of science diplomacy, this paper argues that the assumption of environmental responsibility should act as a normative operator for Arctic environmental governance, shaping the relations between actors in this regional network and legitimising decision-making by Arctic states as they socially construct the mechanisms and regional exceptionalism of Arctic governance. However, environmental responsibility falls short of acting as a normative operator for environmental protection that also prevents the impact of climate change on the Arctic environment, excluding its function as an overarching normative operator for the international system, reducing state legitimacy for regional decision-making in extra-territorial spaces.",Arctic region | Environment | Governance | Responsibility | Science diplomacy,0,1,publisherhybridgold,Hybrid Gold,,undefined,Nord universitet
3,2-s2.0-85168221750,10.1227/neu.0000000000002472,,37010299,Global Neurosurgery: Progress and Resolutions at the 75th World Health Assembly,re,Review,Garcia R.M.,60113483;60105037;60087109;60070352;60032838;60027086;60025286;60023247;60013227;60010348;60007363;60002746;60002194;60001362;128731320;125529862;123939902;121280574,Loma Linda University;Oslo Universitetssykehus;Universidad de La Sabana;Fundacion Santa Fe de Bogota;Stanford University School of Medicine;The University of Alabama at Birmingham;The George Washington University School of Medicine and Health Sciences;SUNY Downstate Health Sciences University;Northwestern University Feinberg School of Medicine;Universitetet i Oslo;Northwestern University;Harvard Medical School;University of Tennessee Health Science Center;Barrow Neurological Institute;Global Surgery Foundation;ReachAnother Foundation;NIHR Global Health Research Group on Neurotrauma;The G4 Alliance,"Loma Linda;Oslo;Chía;Bogota;Stanford;Birmingham;Washington, D.C.;New York;Chicago;Oslo;Evanston;Boston;Memphis;Phoenix;Geneva;Bend;Cambridge;Chicago",United States;Norway;Colombia;Colombia;United States;United States;United States;United States;United States;Norway;United States;United States;United States;United States;Switzerland;United States;United Kingdom;United States,16,"Garcia, Roxanna M.;Ghotme, Kemel A.;Arynchyna-Smith, Anastasia;Mathur, Priyanka;Koning, Marinus;Boop, Frederick;Peterson, Dan;Sheneman, Natalie;Johnson, Walter D.;Park, Kee B.;Griswold, Dylan;Aukrust, Camilla G.;Barthélemy, Ernest J.;Ibbotson, Geoffrey;Blount, Jeffrey P.;Rosseau, Gail L.",55642446900;6504488159;57741704000;57547678100;57220743751;57207488065;58539435800;57208394203;57149404900;56680381700;57214475366;57226525870;35315435700;36925811100;7005734342;6602120827,60007363;60087109-60070352;60027086;60013227;125529862;60002194;121280574;121280574;60113483;60002746;60032838-123939902;60105037-60010348;60023247;128731320;60027086;60025286-60001362,2023-09-01,1 September 2023,Neurosurgery,0148396X,18069,15244040,Journal,93,3,,496-501,"Neurosurgical advocates for global surgery/neurosurgery at the 75th World Health Assembly gathered in person for the first time after the COVID-19 pandemic in Geneva, Switzerland, in May 2022. This article reviews the significant progress in the global health landscape targeting neglected neurosurgical patients, emphasizing high-level policy advocacy and international efforts to support a new World Health Assembly resolution in mandatory folic acid fortification to prevent neural tube defects. The process of developing global resolutions through the World Health Organization and its member states is summarized. Two new global initiatives focused on the surgical patients among the most vulnerable member states are discussed, the Global Surgery Foundation and the Global Action Plan on Epilepsy and other Neurological Disorders. Progress toward a neurosurgery-inspired resolution on mandatory folic acid fortification to prevent spina bifida-folate is described. In addition, priorities for moving the global health agenda forward for the neurosurgical patient as it relates to the global burden of neurological disease are reviewed after the COVID-19 pandemic.",Global health | Neurosurgery | Policy-making | Prevention | Science diplomacy | United Nations | World Health Organization,0,0,,,,OPP1144,Gates Cambridge Trust
4,2-s2.0-85162999080,10.1016/j.marpol.2023.105711,S0308597X23002440,,Supporting regional co-operation in the South China Sea with an initial assessment of the data-limited skipjack tuna fishery,ar,Article,Prince J.,60108061;60073738;60019939;129861320;112537401,Universitas Maritim Raja Ali Haji;Guangdong Ocean University;Murdoch University;National Fisheries Research and Development Institute (NFRDI);Ministry of Agricultural and Rural Development (MARD),Tanjung Pinang;Zhanjiang;Perth;;,Indonesia;China;Australia;Philippines;Viet Nam,10,"Prince, Jeremy;Wang, Xuefeng;Lin, Kun;Suryanti, Ani;Jamon, Sallehudin;Santos, Mudjekeewis D.;Torres, Francisco SB;Flores, Nicko Amor L.;Ha, Vu Viet;Thi Ngoc Anh, Tran",7202826420;55736859000;57206197687;57201185256;58353931300;13907265900;35122337900;57827407600;58353931400;58355886100,60019939;60073738;60073738;60108061;;129861320;129861320;129861320;112537401;112537401,2023-09-01,September 2023,Marine Policy,0308597X,27851,,Journal,155,,105711,,"The 1982 United Nations Convention on the Law of the Sea (UNCLOS) requires coastal states of semi-enclosed seas, like the South China Sea (SCS), to coordinate in the management and conservation of marine environments and living resources, specifically highly migratory trans-national stocks. One of the world's top five fishing grounds, sovereignty disputes continue to bedevil joint fisheries management in the SCS. To develop new norms and standards for regional cooperation, and to support parallel domestic fisheries policymaking, scientists from China, Indonesia, Malaysia, the Philippines and Vietnam overcame political constraints and data limitations, to develop a Common Fisheries Resource Analysis (CFRA) of skipjack tuna (SKJ). A valuable highly migratory species SKJ is fished extensively by SCS states, but regionally, was previously, unassessed. Applying Length-Based Spawning Potential Ratio assessment to evaluate catch size compositions within a Weight of Evidence framework, we conclude fishing targeted at adult stocks would probably be sustainable, but for the continuing intensification of fishing for juveniles. Fishing pressure is apparently eroding SCS food webs and serially depleting local stocks. We conclude, domestic policies need to be developed to halt the continuing expansion of fishing fleets, and reduce fishing pressure, particularly on juvenile fish. The challenge of policy development and implementation requires the support of international frameworks, like Regional Fisheries Management Organisations (RFMOs), to regularise cooperation between government and non-government scientists of coastal states The existing Western Central Pacific Fisheries Commission (WCPFC) could provide that framework, unfortunately, intensifying geopolitical competition makes that extremely unlikely.",Data-poor assessment | Katsuwonus pelamis | RFMO | Science diplomacy | UNCLOS | Weight of evidence,0,1,publisherhybridgold,Hybrid Gold,,undefined,
5,2-s2.0-85163791883,10.1002/anie.202217841,,37377145,Engaging Early-Career Scientists in Global Policy-Making,ar,Article,John T.,60115214;60106421;60059092;60025038;60022195;60017323;60016218;60013980,"TERI School of Advanced Studies;Adolphe Merkle Institute;Royal Scientific Society Jordan;University of California, Berkeley;Massachusetts Institute of Technology;Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional;University of the Witwatersrand, Johannesburg;CICECO – Instituto de Materiais de Aveiro",New Delhi;Fribourg;Amman;Berkeley;Cambridge;Mexico;Johannesburg;Aveiro,India;Switzerland;Jordan;United States;United States;Mexico;South Africa;Portugal,8,"John, Torsten;Cordova, Kyle E.;Jackson, Christopher T.;Hernández-Mondragón, Alma C.;Davids, Bianca L.;Raheja, Lovish;Milić, Jovana V.;Borges, João",57146633300;26530827900;57222048378;57189387004;57195714294;58412600400;57203242086;55937233800,60022195;60059092;60025038;60017323;60016218;60115214;60106421;60013980,2023-08-21,21 August 2023,Angewandte Chemie - International Edition,14337851,22687,15213773,Journal,62,34,e202217841,,"Pressing global challenges, such as climate change, the COVID-19 pandemic, or antibiotic resistance, require coordinated international responses guided by evidence-informed decisions. For this purpose, it is critical that scientists engage in providing insights during the decision-making process. However, the mechanisms for the engagement of scientists in policy-making are complex and vary internationally, which often poses significant challenges to their involvement. Herein, we address some of the mechanisms and barriers for scientists to engage in policy-making with a global perspective by early-career scientists. We highlight the importance of scientific academies, societies, universities, and early-career networks as stakeholders and how they can adapt their structures to actively contribute to shaping global policies, with representative examples from chemistry-related disciplines. We showcase the importance of raising awareness, providing resources and training, and leading discussions about connecting emerging scientists with global decision-makers to address societal challenges through policies.",Early-Career Scientists | Policy-Making | Science Diplomacy | Science for Policy Training | Scientific Academies and Networks,0,0,,,ACS,ISC3,American Cancer Society
6,2-s2.0-85168981630,10.1093/scipol/scad027,,,Coloniality in science diplomacy - evidence from the Atlantic Ocean,ar,Article,Polejack A.,60026689;60021984,Ministerio da Ciencia e Tecnologia;World Maritime University,Brasilia;Malmo,Brazil;Sweden,1,"Polejack, Andrei",57203061890,60026689-60021984,2023-08-01,1 August 2023,Science and Public Policy,3023427,20960,,Journal,50,4,,742-753,"Ocean science diplomacy stands for the social phenomena resulting from the interaction of science and diplomacy in ocean affairs. It refers, inter alia, to the provision of scientific evidence in support of international decision-making, the building of alliances through scientific cooperation, and the enhancement of international collaborative marine research. Despite this generalization, we still lack an understanding of the sense practitioners make of ocean science diplomacy. This paper reports on perceptions of ocean science diplomacy collected through twenty in-depth interviews with South and North Atlantic government officials and researchers involved in the All-Atlantic Ocean Research Alliance. In principle, interviewees perceive ocean science diplomacy as a positive and critically important phenomenon that combines the best of science and diplomacy. However, below this generally positive perception, there seems to be a polarization of power between science and policy and also between South and North Atlantic perspectives. Scientists have reported feeling suspicious of policymaking processes, while officials portray science as unaccountable and segregated from policy. South Atlantic researchers expressed concern over limited research capabilities, and officials reported an openness to the scientific evidence presented by scientists. Northern interviewees, with reported enhanced research capabilities, seem more inclined to search for the right scientific evidence in support of national political goals. A preconceived sense of the other is what seems to permeate South-North Atlantic relationships. Northern subjects make sense of their Southern peers as those in need of assistance, while Southern interviewees claimed being unheard and victims of tokenism. I discuss these findings in light of postcolonial and decolonial theories, advocating for the need to decolonize ocean science diplomacy in the Atlantic Ocean if we are to achieve its alluded benefits.",coloniality of power | decolonialism | international relations | political sciences | postcolonialism | science diplomacy,0,0,,,BMVI,undefined,Bundesministerium für Verkehr und Digitale Infrastruktur
7,2-s2.0-85168747904,10.1093/scipol/scad025,,,Scientific collaborations between Latin America and Europe: An approach from science diplomacy towards international engagement,ar,Article,Echeverría-King L.F.,60198733;60112422;60029570;60008610;60007866;60007346;60000765;130109477;130109004;127411513,Archéologie des Amériques;Fundación Universitaria Los Libertadores;Universidade Estadual de Campinas;Deutsches Primatenzentrum;Instituto Venezolano de Investigaciones Científicas;NHS Grampian;Friedrich-Alexander-Universität Erlangen-Nürnberg;Institute for the Development of Higher Education in Guatemala INDESGUA;Archaeological Research and International Cooperation Unit;COST ASSOCIATION,Nanterre;Bogota;Campinas;Gottingen;Altos de Pipe;Aberdeen;Erlangen;Guatemala City;Perugia;Brussels,France;Colombia;Brazil;Germany;Venezuela;United Kingdom;Germany;Guatemala;Italy;Belgium,7,"Echeverría-King, Luisa F.;Fossati, Aura;Raja, Nussaïbah B.;Bonilla, Kleinsy;Urbani, Bernardo;Whiffen, Radenka Krsmanović;Vizinová, Tereza",58032484600;58548284200;57188682877;57317089000;6603317814;57193414142;58548990600,60112422;60198733-130109004;60000765;60029570-130109477;60007866-60008610;127411513;60007346,2023-08-01,1 August 2023,Science and Public Policy,3023427,20960,,Journal,50,4,,754-766,"International collaborations show asymmetries and imbalances that influence how countries take part in international relations. In this context, science diplomacy (SD) could offer possibilities towards building partnerships and meaningful engagement between Europe and Latin America. The purpose of this article is to analyse how scientific collaborations between Latin American and European researchers are carried out, observing trends, behaviours, and perceptions. Qualitative methodologies and the analysis of empirical data collected through a survey allow the extraction of relevant experiences from real cases of international joint projects. Findings indicate that addressing the asymmetries in the collaboration between partnering researchers from Europe and Latin America is essential, and SD approaches may facilitate such endeavour. SD may not represent a panacea; however, it seems to facilitate the internationalisation of research in terms of mobility, international scientific collaborations, and knowledge exchange with under-represented actors in traditional international scientific schemes, such as indigenous communities.",Europe-Latin America | Global South | science diplomacy | scientific collaborations | transnational research,0,0,,,DFG,KI 806/17-1,Deutsche Forschungsgemeinschaft
8,2-s2.0-85167766368,10.4018/978-1-6684-7874-5.ch003,,,Rethinking natural resource development: A sustainable and equitable approach to north-south relations,ch,Book Chapter,Rachid A.,60025506;128456554,Université Abdelmalek Essaadi;International Higher Institute of Tourism of Tangier,Tetouan;Tangier,Morocco;Morocco,3,"Rachid, Ali;Moussaoui, Mohamed;Benbba, Brahim",57997011700;58319493300;57987744600,128456554;60025506;60025506,2023-07-24,24 July 2023,"Global Science's Cooperation Opportunities, Challenges, and Good Practices",,21101171054,,Book,,,,50-85,"Environmental changes have accelerated in recent years. We are experiencing the sixth mass extinction. In its report, the MEA concludes that current human activity prevents the ability of ecosystems to sustainfuture generationsfor granted. Nowadays, the preservation of biodiversity has taken a notorious place in the diplomatic registers. Finding a solution to this socio-environmental multifaceted problem is at the core of the concept of sustainable development (SD) advocated by science diplomacy, which has become essential to address tensions and conflicts between Global North and South for management of the environment and natural resources. This chapter will address, from angle sustainable development perspective, the multiple relationships complexity between the countries of the North and the South approaches and alternatives to boost the natural resource development in order to preserve biodiversity.",,0,0,,,,undefined,
9,2-s2.0-85167763018,10.4018/978-1-6684-7874-5.ch001,,,Addressing global challenges through south-south cooperation and science diplomacy,ch,Book Chapter,Sinha S.,115139272,Research and Information Systems for Developing Countries,,India,1,"Sinha, Sneha",58533494300,115139272,2023-07-24,24 July 2023,"Global Science's Cooperation Opportunities, Challenges, and Good Practices",,21101171054,,Book,,,,1-27,"The chapter focuses on addressing common and global challenges through leveraging South-South cooperation and science diplomacy. Science diplomacy can play an effective role in fostering South-South cooperation. SSC in STI will play an integral role in increasing the scientific capability of the Global South countries which is critical for strengthening the S&T ecosystem, required for technical innovation for finding solutions to national, regional, common, and global challenges. Science diplomacy can catalyse SSC in S&T and play a vital role in forging greater linkages between scientists and diplomats and bring forth Global South perspective in international issues and challenges and enhance greater role of the South in informed decision making in international negotiations on global challenges and SDGs.",,0,0,,,,undefined,
